timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL
1,75EnNDPL2024/09/15,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,524.7258,46.9384,0.0000,69.6064,0.0000,0.0000,64.5600,0.0000,273.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,34.5150,39.5777,6.3090,5.8389,0.0000,13.7815,30.3333,0.0000,13.1412,21.3572,27.6374,0.0000,20.7169,10.8888,3.2320,0.0000,12.6816,0.0000,0.0000,0.0000,15.8437,3.1324,0.0000,0.0000,0.0000,13.7170,10.1526,12.9316,12.1251,5.9387,11.2118,14.9590,4.8817,0.0000,2.3562,2.0003,0.0000,0.0000,0.0000,134.8624,0.0000,0.0000,200.0000,0.0000,0.0000,200.0000,4.6600,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2567,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000
2,75EnNDPL2024/09/15,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,524.7258,46.9384,0.0000,69.6064,0.0000,0.0000,64.5600,0.0000,273.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,34.5150,39.5777,6.3090,5.8389,0.0000,13.7815,30.3333,0.0000,13.1412,21.3572,27.6374,0.0000,20.7169,10.8888,3.2320,0.0000,12.6816,0.0000,0.0000,0.0000,15.8437,3.1324,0.0000,0.0000,0.0000,13.7170,10.1526,12.9316,12.1251,5.9387,11.2118,14.9590,4.8817,0.0000,2.3562,2.0003,0.0000,0.0000,0.0000,134.8624,0.0000,0.0000,200.0000,0.0000,0.0000,200.0000,4.6600,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2567,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000
3,75EnNDPL2024/09/15,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,524.7258,46.9384,0.0000,69.6064,0.0000,0.0000,64.5600,0.0000,273.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,34.5150,39.5777,6.3090,5.8389,0.0000,13.7815,30.3333,0.0000,13.1412,21.3572,27.6374,0.0000,20.7169,10.8888,3.2320,0.0000,12.6816,0.0000,0.0000,0.0000,15.8437,3.1754,0.0000,0.0000,0.0000,13.7170,10.1526,8.6211,12.1251,5.9387,11.2676,14.9590,4.2979,0.0000,2.3562,2.0003,0.0000,0.0000,0.0000,134.8624,0.0000,0.0000,200.0000,0.0000,0.0000,200.0000,4.6600,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2567,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000
4,75EnNDPL2024/09/15,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,524.7258,46.9384,0.0000,69.6064,0.0000,0.0000,64.5600,0.0000,273.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,34.5150,39.5777,6.3090,5.8389,0.0000,13.7815,30.3333,0.0000,13.1412,21.3572,27.6374,0.0000,20.7169,10.8888,3.2320,0.0000,12.6816,0.0000,0.0000,0.0000,15.8437,3.1754,0.0000,0.0000,0.0000,15.4106,10.1526,8.6211,12.1251,5.9387,11.2676,14.9590,4.2979,0.0000,2.3562,2.0003,0.0000,0.0000,0.0000,134.8624,0.0000,0.0000,200.0000,0.0000,0.0000,200.0000,4.6600,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2567,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000
5,75EnNDPL2024/09/15,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,524.7258,46.9384,0.0000,69.6064,0.0000,0.0000,64.5600,0.0000,232.4400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,34.5150,39.5777,6.3090,5.8389,0.0000,13.7815,30.3333,0.0000,13.1412,21.3572,27.6374,0.0000,20.7169,10.8888,3.2320,0.0000,12.6816,0.0000,0.0000,0.0000,15.8437,3.1754,0.0000,0.0000,0.0000,15.4106,10.1526,8.6211,12.1251,5.9387,11.2676,14.9590,4.8817,0.0000,3.9884,2.0003,0.0000,0.0000,0.0000,134.8624,0.0000,0.0000,200.0000,0.0000,0.0000,200.0000,4.6600,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2567,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000
6,75EnNDPL2024/09/15,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,524.7258,46.9384,0.0000,69.6064,0.0000,0.0000,64.5600,0.0000,232.4400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,34.5150,39.5777,6.3090,5.8389,0.0000,13.7815,30.3333,0.0000,13.1412,21.3572,27.6374,0.0000,20.7169,10.8888,3.2320,0.0000,12.6816,0.0000,0.0000,0.0000,15.8437,3.1754,0.0000,0.0000,0.0000,15.4106,10.1526,8.6211,12.1251,5.9387,11.2676,14.9590,4.8817,0.0000,3.9884,2.0003,0.0000,0.0000,0.0000,134.8624,0.0000,0.0000,200.0000,0.0000,0.0000,200.0000,4.6600,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2567,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000
7,75EnNDPL2024/09/15,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,524.7258,43.5957,0.0000,69.6064,0.0000,0.0000,64.5600,0.0000,232.4400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,34.5150,39.5777,6.3090,5.8389,0.0000,13.7815,30.3333,0.0000,13.1412,21.3572,27.6374,0.0000,20.7169,10.8888,3.2320,0.0000,12.6816,0.0000,0.0000,0.0000,15.8437,3.1754,0.0000,0.0000,0.0000,13.7170,10.1526,8.6211,12.1251,5.9387,11.2676,14.9590,4.8817,0.0000,3.9884,2.0003,0.0000,0.0000,0.0000,134.8624,0.0000,0.0000,200.0000,0.0000,0.0000,200.0000,4.6600,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2567,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000
8,75EnNDPL2024/09/15,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,524.7258,43.5957,0.0000,69.6064,0.0000,0.0000,64.5600,0.0000,232.4400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,34.5150,39.5777,6.3090,5.8389,0.0000,13.7815,30.3333,0.0000,13.1412,21.3572,27.6374,0.0000,20.7169,10.8888,1.6048,0.0000,12.6816,0.0000,0.0000,0.0000,15.8437,3.1754,0.0000,0.0000,0.0000,13.7170,10.1526,8.6211,7.7708,5.9387,11.2676,14.9590,4.8817,0.0000,3.9884,2.0003,0.0000,0.0000,0.0000,134.8624,0.0000,0.0000,200.0000,0.0000,0.0000,200.0000,4.6600,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2567,0.0000,0.0000,0.0000,0.0000,200.0000,18.7000,0.0000,0.0000,100.0000
9,75EnNDPL2024/09/15,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,524.7258,43.5957,0.0000,69.6064,0.0000,0.0000,64.5600,0.0000,193.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,34.5150,39.5777,6.3090,5.8389,0.0000,13.7815,30.3333,0.0000,13.1412,21.3572,27.6374,0.0000,20.7169,10.8888,1.6048,0.0000,12.6816,0.0000,0.0000,0.0000,15.8437,3.1754,0.0000,0.0000,0.0000,13.7170,10.1526,8.6211,7.3623,5.9387,11.2676,14.9590,4.8817,0.0000,3.9884,2.0003,0.0000,0.0000,0.0000,134.8624,0.0000,0.0000,200.0000,0.0000,0.0000,200.0000,4.6600,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2567,0.0000,0.0000,0.0000,0.0000,200.0000,18.5100,0.0000,0.0000,100.0000
10,75EnNDPL2024/09/15,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,524.7258,43.5957,0.0000,69.6064,0.0000,0.0000,64.5600,0.0000,150.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,34.5150,39.5777,6.3090,5.8389,0.0000,13.7815,30.3333,0.0000,13.1412,21.3572,27.6374,0.0000,20.7169,10.8888,0.0000,0.0000,12.6816,0.0000,0.0000,0.0000,15.8437,3.1754,0.0000,0.0000,0.0000,13.7170,10.1526,8.6211,7.3623,5.9387,11.2676,14.9590,4.8817,0.0000,3.9884,2.0003,0.0000,0.0000,0.0000,134.8624,0.0000,0.0000,200.0000,0.0000,0.0000,200.0000,4.6600,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2567,0.0000,0.0000,0.0000,0.0000,200.0000,18.5100,0.0000,0.0000,100.0000
11,75EnNDPL2024/09/15,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,524.7258,43.5957,0.0000,69.6064,0.0000,0.0000,64.5600,0.0000,150.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,34.5150,39.5777,6.3090,5.8389,0.0000,13.7815,30.3333,0.0000,13.1412,21.3572,27.6374,0.0000,20.7169,10.8888,0.0000,0.0000,12.6816,0.0000,0.0000,0.0000,15.8437,3.1754,0.0000,0.0000,0.0000,13.7170,10.1526,8.6211,7.3623,5.9387,11.2676,14.9590,4.8817,0.0000,3.6540,2.0003,0.0000,0.0000,0.0000,134.8624,0.0000,0.0000,200.0000,0.0000,0.0000,200.0000,4.6600,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2567,0.0000,0.0000,0.0000,0.0000,200.0000,18.5100,0.0000,0.0000,100.0000
12,75EnNDPL2024/09/15,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,524.7258,43.5957,0.0000,69.6064,0.0000,0.0000,64.5600,0.0000,150.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,34.5150,39.5777,6.3090,5.8389,0.0000,13.7815,30.3333,0.0000,13.1412,21.3572,27.6374,0.0000,20.7169,10.8888,0.0000,0.0000,12.6816,0.0000,0.0000,0.0000,15.8437,3.1754,0.0000,0.0000,0.0000,13.7170,10.1526,8.6211,7.3623,5.9387,11.2676,14.9590,4.8817,0.0000,3.6540,2.0003,0.0000,0.0000,0.0000,134.8624,0.0000,0.0000,200.0000,0.0000,0.0000,200.0000,4.6600,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2567,0.0000,0.0000,0.0000,0.0000,200.0000,18.5100,0.0000,0.0000,100.0000
13,75EnNDPL2024/09/15,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,524.7258,43.5957,0.0000,69.6064,0.0000,0.0000,64.5600,0.0000,150.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,34.5150,39.5777,6.3090,5.8389,0.0000,13.7815,30.3333,0.0000,13.1412,21.3572,27.6374,0.0000,20.7169,10.8888,0.0000,0.0000,12.6816,0.0000,0.0000,0.0000,15.8437,3.1754,0.0000,0.0000,0.0000,13.7170,9.4906,8.6211,7.3623,5.9387,11.2676,14.9590,4.8817,0.0000,3.6141,2.0003,0.0000,0.0000,0.0000,134.8624,0.0000,0.0000,200.0000,0.0000,0.0000,200.0000,4.6600,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2567,0.0000,0.0000,0.0000,0.0000,200.0000,18.3300,0.0000,0.0000,100.0000
14,75EnNDPL2024/09/15,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,524.7258,43.5957,0.0000,69.6064,0.0000,0.0000,64.5600,0.0000,150.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,34.5150,39.5777,6.3090,5.8389,0.0000,13.7815,30.3333,0.0000,13.1412,21.3572,27.6374,0.0000,20.7169,10.8888,0.0000,0.0000,12.6816,0.0000,0.0000,0.0000,15.8437,3.1754,0.0000,0.0000,0.0000,15.4106,9.4906,8.6211,7.3623,5.9387,11.2676,14.9590,4.8817,0.0000,3.6141,2.0003,0.0000,0.0000,0.0000,134.8624,0.0000,0.0000,200.0000,0.0000,0.0000,200.0000,4.6600,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2567,0.0000,0.0000,0.0000,0.0000,200.0000,18.3300,0.0000,0.0000,100.0000
15,75EnNDPL2024/09/15,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,524.7258,43.5957,0.0000,69.6064,0.0000,0.0000,64.5600,0.0000,150.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,34.5150,39.5777,6.3090,5.8389,0.0000,13.7815,30.3333,0.0000,13.1412,21.3572,27.6374,0.0000,20.7169,10.8888,0.0000,0.0000,12.6816,0.0000,0.0000,0.0000,15.8437,3.1754,0.0000,0.0000,0.0000,15.4106,9.4906,8.6211,7.3623,5.9387,11.2676,14.9590,4.8817,0.0000,3.6141,2.0003,0.0000,0.0000,0.0000,134.8624,0.0000,0.0000,200.0000,0.0000,0.0000,200.0000,4.6600,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2567,0.0000,0.0000,0.0000,0.0000,200.0000,18.3300,0.0000,0.0000,100.0000
16,75EnNDPL2024/09/15,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,524.7258,43.5957,0.0000,69.6064,0.0000,0.0000,64.5600,0.0000,150.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,34.5150,39.5777,6.3090,5.8389,0.0000,13.7815,30.3333,0.0000,13.1412,21.3572,27.6374,0.0000,20.7169,10.8888,0.0000,0.0000,12.6816,0.0000,0.0000,0.0000,15.8437,3.1754,0.0000,0.0000,0.0000,15.4106,9.4906,4.3105,7.3623,5.9387,11.2676,14.9590,4.8817,0.0000,3.6141,2.0003,0.0000,0.0000,0.0000,134.8624,0.0000,0.0000,200.0000,0.0000,0.0000,200.0000,4.6600,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2567,0.0000,0.0000,0.0000,0.0000,200.0000,18.3300,0.0000,0.0000,100.0000
17,75EnNDPL2024/09/15,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,524.7258,43.5957,0.0000,69.6064,0.0000,0.0000,64.5600,0.0000,150.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,34.5150,39.5777,6.3090,5.8389,0.0000,13.7815,30.3333,0.0000,13.1412,21.3572,27.6374,0.0000,20.7169,10.8888,0.0000,0.0000,12.6816,0.0000,0.0000,0.0000,15.8437,3.2644,0.0000,0.0000,0.0000,13.7170,9.4906,4.3105,7.3623,5.9387,11.2676,14.9590,4.8817,0.0000,3.9884,2.0003,0.0000,0.0000,0.0000,134.8624,0.0000,0.0000,200.0000,0.0000,0.0000,200.0000,4.6600,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2567,0.0000,0.0000,0.0000,0.0000,200.0000,18.0500,0.0000,0.0000,100.0000
18,75EnNDPL2024/09/15,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,23.7360,0.0000,0.0000,0.0000,63.6240,0.0000,27.6734,524.7258,43.5957,0.0000,69.6064,0.0000,0.0000,64.5600,0.0000,150.6100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3306,0.0000,0.0000,6.3814,14.1138,36.4400,0.0000,34.5150,39.5777,6.3090,5.8389,0.0000,13.7815,30.3333,0.0000,13.1412,21.3572,27.6374,0.0000,20.7169,10.8888,0.0000,0.0000,12.6816,0.0000,0.0000,0.0000,15.8437,3.2183,0.0000,0.0000,0.0000,13.7170,9.4906,4.3105,7.3623,5.9387,11.2676,14.9590,4.8817,0.0000,3.9884,2.0003,0.0000,0.0000,0.0000,134.8624,0.0000,0.0000,200.0000,0.0000,0.0000,200.0000,4.6600,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.2567,0.0000,0.0000,0.0000,0.0000,200.0000,18.0500,0.0000,0.0000,100.0000
